line_id,movie_title,line,memorable?
516175,the matrix,Welcome to the desert of the real.,1
516174,the matrix,This is Chicago as it exists today.,0
694630,silence of the lambs,"Good evening, Clarice.",1
694600,silence of the lambs,"Oh, and Senator...?",0
773856,terminator,Come with me if you want to live.,1
773864,terminator,Don't make a sound unless I say.,0
774593,terminator 2: judgment day,"Hasta la vista, baby.",1
774584,terminator 2: judgment day,Was there a problem?,0
736048,star wars,The Force is strong with this one.,1
735122,star wars,Send a detachment down to retrieve them.,0
